State,1978,1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2015,2016,2017,2018,2019,2020
Hawaii,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Iowa,Rep,Rep,Dem,Dem,Dem,Dem,Dem,Dem,Split,Rep,Rep,Rep,Rep,Split,Dem,Dem,Dem,Split,Split,Split,Split,Rep,Rep,Rep,Rep
Idaho,Rep,Rep,Rep,Rep,Rep,Rep,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Illinois,Dem,Split,Dem,Dem,Dem,Dem,Dem,Split,Split,Split,Split,Split,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Indiana,Rep,Rep,Rep,Rep,Rep,Split,Split,Split,Split,Split,Split,Split,Split,Rep,Split,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Kansas,Rep,Rep,Rep,Rep,Rep,Rep,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Kentucky,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Split,Split,Split,Split,Split,Split,Split,Split,Split,Rep,Rep,Rep,Rep
Louisiana,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Massachusetts,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Maryland,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Maine,Split,Split,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Dem,Dem,Dem,Dem,Dem,Rep,Dem,Split,Split,Split,Split,Dem,Dem
Michigan,Dem,Dem,Dem,Split,Split,Split,Split,Split,Split,Split,Rep,Rep,Rep,Rep,Split,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Minnesota,Split,Split,Dem,Split,Split,Dem,Dem,Dem,Dem,Dem,Split,Split,Split,Split,Dem,Dem,Dem,Rep,Dem,Split,Split,Rep,Rep,Split,Split
Missouri,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Mississippi,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Montana,Dem,Rep,Split,Split,Split,Split,Split,Split,Rep,Rep,Rep,Rep,Rep,Split,Split,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
North Carolina,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Dem,Dem,Dem,Dem,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
North Dakota,Rep,Rep,Split,Rep,Split,Split,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
New Hampshire,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Rep,Rep,Rep,Dem,Dem,Dem,Rep,Split,Rep,Rep,Rep,Rep,Dem,Dem
New Jersey,Dem,Dem,Dem,Split,Split,Dem,Dem,Rep,Rep,Rep,Rep,Rep,Split,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
New Mexico,Dem,Dem,Dem,Split,Split,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Split,Dem,Dem,Dem,Dem
Nevada,Dem,Dem,Dem,Split,Split,Split,Split,Split,Split,Split,Split,Split,Split,Split,Split,Dem,Dem,Dem,Dem,Rep,Rep,Dem,Dem,Dem,Dem
New York,Split,Split,Split,Split,Split,Split,Split,Split,Split,Split,Split,Split,Split,Split,Split,Dem,Dem,Split,Dem,Split,Split,Dem,Split,Dem,Dem
Ohio,Dem,Split,Dem,Split,Split,Split,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Oklahoma,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Oregon,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Rep,Rep,Rep,Rep,Split,Split,Dem,Dem,Dem,Split,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Pennsylvania,Split,Rep,Split,Split,Split,Split,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Rhode Island,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
South Carolina,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Split,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
South Dakota,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Tennessee,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Texas,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Split,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Utah,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
Virginia,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Split,Rep,Rep,Rep,Rep,Split,Split,Split,Split,Rep,Rep,Rep,Rep,Rep,Dem
Vermont,Rep,Rep,Rep,Split,Split,Split,Split,Split,Split,Split,Dem,Split,Split,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem
Washington,Split,Rep,Dem,Dem,Dem,Split,Split,Dem,Split,Split,Split,Split,Split,Dem,Dem,Dem,Dem,Dem,Dem,Split,Split,Dem,Dem,Dem,Dem
Wisconsin,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Split,Split,Split,Split,Rep,Rep,Split,Dem,Dem,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
West Virginia,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Dem,Rep,Rep,Rep,Rep,Rep,Rep
Wyoming,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep,Rep
